dt,India,Japan,Netherlands,World
1961-01-01,0.536,-0.981,-0.009,0.399
1961-02-01,-1.413,-0.628,4.082,0.263
1961-03-01,0.499,0.6,2.54,0.254
1961-04-01,0.026,0.761,2.735,0.278
1961-05-01,-0.144,0.989,-1.141,0.367
1961-06-01,-0.589,0.818,0.346,0.313
1961-07-01,-0.293,1.442,-1.329,0.007
1961-08-01,0.065,0.692,-0.517,-0.001
1961-09-01,-0.348,2.126,2.941,-0.063
1961-10-01,-0.78,1.602,1.404,-0.123
1961-11-01,-1.021,1.013,-0.667,0.138
1961-12-01,-1.735,0.424,-1.396,-0.217
1962-01-01,-1.289,-0.092,1.856,0.104
1962-02-01,-0.38,0.34,0.273,0.218
1962-03-01,-0.569,-0.255,-3.082,0.279
1962-04-01,-0.223,0.062,0.268,0.027
1962-05-01,-0.37,0.362,-2.069,-0.183
1962-06-01,-0.049,-0.197,-1.466,-0.208
1962-07-01,0.18,0.282,-1.883,-0.035
1962-08-01,-0.127,0.239,-1.135,-0.007
1962-09-01,-0.384,0.761,-1.125,-0.023
1962-10-01,-0.852,-0.313,0.377,0.25
1962-11-01,-0.573,-0.202,-1.534,0.201
1962-12-01,-0.426,0.555,-3.539,0.113
1963-01-01,-0.395,-1.722,-7.121,-0.171
1963-02-01,0.669,-1.077,-5.8,0.563
1963-03-01,-0.357,-0.066,-0.343,-0.237
1963-04-01,-0.903,0.556,0.907,0.002
1963-05-01,-0.558,1.149,-0.687,-0.029
1963-06-01,-0.169,0.581,0.29,-0.12
1963-07-01,0.501,0.352,0.005,0.208
1963-08-01,0.053,-0.077,-0.893,0.159
1963-09-01,0.134,-0.856,-0.021,0.374
1963-10-01,0.133,-0.472,-0.731,0.653
1963-11-01,0.559,0.324,2.693,0.392
1963-12-01,0.213,0.974,-3.927,-0.225
1964-01-01,-0.528,1.306,-1.343,-0.311
1964-02-01,-0.057,-1.133,0.931,-0.409
1964-03-01,0.945,-0.185,-2.262,-0.287
1964-04-01,0.57,2.264,1.037,-0.167
1964-05-01,-0.151,0.585,1.795,-0.097
1964-06-01,0.098,-0.474,0.529,-0.089
1964-07-01,-0.297,0.115,0.552,-0.235
1964-08-01,-0.038,0.533,-0.239,-0.362
1964-09-01,-0.138,-0.153,0.435,-0.256
1964-10-01,0.05,-0.303,-2.107,-0.46
1964-11-01,-0.644,-0.451,0.563,-0.135
1964-12-01,-0.327,0.011,-0.732,-0.643
1965-01-01,0.775,0.37,1.096,0.206
1965-02-01,-0.272,-0.319,-1.017,-0.45
1965-03-01,-0.86,-1.631,-0.495,-0.272
1965-04-01,-1.165,-2.017,-0.348,-0.574
1965-05-01,-0.43,-0.439,-0.272,-0.141
1965-06-01,0.571,-0.101,-0.169,-0.036
1965-07-01,0.031,-0.729,-1.731,-0.29
1965-08-01,0.075,-0.094,-1.305,-0.247
1965-09-01,-0.035,-1.0,-0.834,-0.146
1965-10-01,0.44,-0.72,-0.057,-0.056
1965-11-01,0.474,0.379,-2.837,-0.057
1965-12-01,-0.041,-0.468,1.103,0.285
1966-01-01,0.495,-0.152,-1.786,0.458
1966-02-01,1.284,1.228,2.635,0.756
1966-03-01,-0.073,1.386,0.109,0.391
1966-04-01,-0.019,-0.204,0.694,-0.018
1966-05-01,0.116,-0.608,1.081,-0.069
1966-06-01,-0.04,-0.713,1.621,0.279
1966-07-01,0.805,-0.755,-1.126,0.27
1966-08-01,0.233,0.465,-0.791,0.159
1966-09-01,0.028,-0.368,-0.02,-0.076
1966-10-01,0.204,0.455,1.448,0.039
1966-11-01,0.486,-0.015,-1.656,-0.063
1966-12-01,-0.406,-1.445,0.922,-0.218
1967-01-01,-0.335,-0.852,1.439,-0.289
1967-02-01,0.716,-0.453,2.719,-0.557
1967-03-01,-1.115,0.578,1.942,-0.117
1967-04-01,-0.775,0.297,-0.764,-0.174
1967-05-01,-0.078,1.147,0.48,0.238
1967-06-01,0.299,0.514,-0.553,-0.354
1967-07-01,0.108,0.531,1.512,-0.214
1967-08-01,-0.168,0.747,0.072,-0.028
1967-09-01,-0.254,-0.039,0.302,-0.016
1967-10-01,-0.334,-0.399,1.581,0.332
1967-11-01,-0.222,-0.221,-0.499,0.025
1967-12-01,0.502,-1.773,-0.442,-0.208
1968-01-01,-0.646,0.035,-0.368,-0.393
1968-02-01,-1.117,-2.147,-0.308,-0.412
1968-03-01,-0.554,0.651,1.123,0.423
1968-04-01,-0.932,-0.014,1.458,-0.137
1968-05-01,-0.539,-0.664,-1.219,-0.333
1968-06-01,-0.024,-0.219,0.373,-0.217
1968-07-01,0.018,-0.378,-0.432,-0.195
1968-08-01,0.092,-0.406,0.351,-0.215
1968-09-01,0.605,-0.497,0.453,0.019
1968-10-01,-0.315,-1.121,1.421,-0.007
1968-11-01,-0.008,0.623,-0.427,0.237
1968-12-01,-0.002,2.095,-2.98,-0.075
1969-01-01,0.089,0.496,1.995,-0.859
1969-02-01,0.417,0.165,-2.407,-0.658
1969-03-01,1.296,-0.868,-2.359,-0.018
1969-04-01,0.485,-0.038,-0.164,0.047
1969-05-01,-0.34,0.057,0.764,0.228
1969-06-01,0.479,-0.722,-0.299,0.023
1969-07-01,0.158,-0.309,1.629,-0.065
1969-08-01,-0.005,-0.251,0.75,0.042
1969-09-01,-0.088,0.27,0.473,-0.076
1969-10-01,0.242,-0.776,2.023,0.047
1969-11-01,0.865,-0.592,0.554,0.286
1969-12-01,0.336,-1.466,-4.57,0.469
